Tipo,Origen,Destino,Categoria,Producto,Notas
Migrar,"Portapasaportes_37_1.jpg","Accesorios/Portapasaportes/full/Portapasaportes_37_1.jpg","Accesorios","Portapasaportes","Coincidencia única"
Migrar,"Portapasaportes_37.jpg","Accesorios/Portapasaportes/full/Portapasaportes_37.jpg","Accesorios","Portapasaportes","Coincidencia única"
Migrar,"Portapasaportes_56_1.jpg","Accesorios/Portapasaportes/full/Portapasaportes_56_1.jpg","Accesorios","Portapasaportes","Coincidencia única"
Migrar,"Portapasaportes_56.jpg","Accesorios/Portapasaportes/full/Portapasaportes_56.jpg","Accesorios","Portapasaportes","Coincidencia única"
Migrar,"Portapasaportes_63_1.jpg","Accesorios/Portapasaportes/full/Portapasaportes_63_1.jpg","Accesorios","Portapasaportes","Coincidencia única"
Migrar,"Portapasaportes_63.jpg","Accesorios/Portapasaportes/full/Portapasaportes_63.jpg","Accesorios","Portapasaportes","Coincidencia única"
Sin mapeo,"Arete_Piel_Gota_22.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Gota_49.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Gota_56.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Gota_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Gota_7.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Gota_73.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Gota_75.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_28_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_28.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_32_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_32.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_63_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_63_2.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_63_3.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_7.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_75.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_85.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_9_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_9_2.jpg","","","","Requiere revisión manual"
Sin mapeo,"Arete_Piel_Poligono_Chico_9.jpg","","","","Requiere revisión manual"
Sin mapeo,"Backpack_Mini_37_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Backpack_Mini_37.jpg","","","","Requiere revisión manual"
Sin mapeo,"Backpack_Mini_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Cilindro_Jareta_37.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Cilindro_Jareta_39.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Cilindro_Jareta_63_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Cilindro_Jareta_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Cilindro_Jareta_9_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Cilindro_Jareta_9_2.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Cilindro_Jareta_9.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_de_Playa_Gigante_37_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_de_Playa_Gigante_37.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_de_Playa_Gigante_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_de_Playa_Gigante_9.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_de_Playa_mediana_63_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_de_Playa_mediana_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_de_Playa_mediana_9.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_horizontal_3.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_horizontal_37.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_horizontal_56.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_horizontal_94.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_1_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_37.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_56.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_80_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_80.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Gigante_Vertical_94.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_grande_con_Jareta_101.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_grande_con_Jareta_49.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_grande_con_Jareta_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_grande_con_Jareta_94.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_grande_con_Jareta_95.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Mediana_con_bolsillo_piel_al_frente_37.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Mediana_con_bolsillo_piel_al_frente_56.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Mediana_con_bolsillo_piel_al_frente_63.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Telar_de_pedal_cruzada_37_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Telar_de_pedal_cruzada_37_2.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Telar_de_pedal_cruzada_37_3.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Telar_de_pedal_cruzada_37.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Telar_de_pedal_cruzada_63_1.jpg","","","","Requiere revisión manual"
Sin mapeo,"Bolsa_Telar_de_pedal_cruzada_63.jpg","","","","Requiere revisión manual"
