Confianza,Archivo,Producto,Categoria,VarianteNumero,VarianteNombre,Carpeta,Destino,Score
highConfidence,"Arete_Piel_Gota_22.jpg","arete-piel-gota","Joyeria",22,"Perla","variants","Joyeria/Aretes/arete-piel-gota/variants/Arete_Piel_Gota_22.jpg",100
highConfidence,"Arete_Piel_Gota_49.jpg","arete-piel-gota","Joyeria",49,"Tinto y Miel","variants","Joyeria/Aretes/arete-piel-gota/variants/Arete_Piel_Gota_49.jpg",100
highConfidence,"Arete_Piel_Gota_56.jpg","arete-piel-gota","Joyeria",56,"Tinto y Blanco","variants","Joyeria/Aretes/arete-piel-gota/variants/Arete_Piel_Gota_56.jpg",100
highConfidence,"Arete_Piel_Gota_63.jpg","arete-piel-gota","Joyeria",63,"Estándar","variants","Joyeria/Aretes/arete-piel-gota/variants/Arete_Piel_Gota_63.jpg",100
highConfidence,"Arete_Piel_Gota_7.jpg","arete-piel-gota","Joyeria",7,"Gris y Azul Tupido","variants","Joyeria/Aretes/arete-piel-gota/variants/Arete_Piel_Gota_7.jpg",100
highConfidence,"Arete_Piel_Gota_73.jpg","arete-piel-gota","Joyeria",73,"Blanco y Azul Franjas Delgadas","variants","Joyeria/Aretes/arete-piel-gota/variants/Arete_Piel_Gota_73.jpg",100
highConfidence,"Arete_Piel_Gota_75.jpg","arete-piel-gota","Joyeria",75,"Café Gamuza y Camel","variants","Joyeria/Aretes/arete-piel-gota/variants/Arete_Piel_Gota_75.jpg",100
highConfidence,"Arete_Piel_Poligono_Chico_28_1.jpg","arete-piel-poligono-chico","Joyeria",28,"Azul","variants","Joyeria/Aretes/arete-piel-poligono-chico/variants/Arete_Piel_Poligono_Chico_28_1.jpg",100
highConfidence,"Arete_Piel_Poligono_Chico_28.jpg","arete-piel-poligono-chico","Joyeria",28,"Azul","variants","Joyeria/Aretes/arete-piel-poligono-chico/variants/Arete_Piel_Poligono_Chico_28.jpg",100
highConfidence,"Arete_Piel_Poligono_Chico_32_1.jpg","arete-piel-poligono-chico","Joyeria",32,"Marrón","variants","Joyeria/Aretes/arete-piel-poligono-chico/variants/Arete_Piel_Poligono_Chico_32_1.jpg",100
highConfidence,"Arete_Piel_Poligono_Chico_32.jpg","arete-piel-poligono-chico","Joyeria",32,"Marrón","variants","Joyeria/Aretes/arete-piel-poligono-chico/variants/Arete_Piel_Poligono_Chico_32.jpg",100
